"company","address_line_1","city","zipcode","naics8_descriptions","employee_size_location","sales_volume_location","state"
"JOHN'S GRILL","63 ELLIS ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",20,1424,"CA"
"TAD'S STEAKHOUSE","120 POWELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",19,1353,"CA"
"SAM'S GRILL & SEA FOOD RSTRNT","374 BUSH ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",35,2491,"CA"
"B44 CATALAN BISTRO","44 BELDEN PL","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",23,1637,"CA"
"MIKAKU RESTAURANT","323 GRANT AVE","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",9,641,"CA"
"SABRA","419 GRANT AVE","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"JADE CAFE","18 GEARY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"LE CENTRAL","453 BUSH ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",20,1424,"CA"
"HARRINGTON'S BAR & GRILL SF","245 FRONT ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",21,1495,"CA"
"MC DONALD'S","235 FRONT ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",23,1637,"CA"
"ROYAL EXCHANGE","301 SACRAMENTO ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",33,2349,"CA"
"SCHROEDER'S CAFE","240 FRONT ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",50,3559,"CA"
"TADICH GRILL","240 CALIFORNIA ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",38,2705,"CA"
"PASILLA MEXICAN GRILL","359 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",4,285,"CA"
"NIJI JAPANESE GRILLE","50 POST ST # 53","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",5,356,"CA"
"MANHATTAN HUB","343 SANSOME ST # 140","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"SUBWAY","200 PINE ST # 140","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",8,570,"CA"
"SAN FRANCISCO SOUP CO","221 MONTGOMERY ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",8,570,"CA"
"BANANA HOUSE","321 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"BOB'S STEAK & CHOP HOUSE","500 CALIFORNIA ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",30,2135,"CA"
"CAFE MADELEINE","300 CALIFORNIA ST # GRND1","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"MURPHY'S PUB","217 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",17,1210,"CA"
"SAPPHIRE ASIAN CUISINE & BAR","475 SACRAMENTO ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",10,712,"CA"
"OCCIDENTAL CIGAR CLUB","471 PINE ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"OPENTABLE INC","1 MONTGOMERY ST # 700","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",150,0,"CA"
"SAN FRANCISCO SOUP CO","275 BATTERY ST # 1050","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"PHO EXPRESS","380 BUSH ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"KING-THAI NOODLE ON UNION SQR","184 OFARRELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SUBWAY","483 SACRAMENTO ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",4,285,"CA"
"360 GOURMET BURRITOS","50 POST ST # 59","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CHINA FUN EXPRESS","211 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",4,285,"CA"
"BOXED FOODS CO","245 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",7,499,"CA"
"MICHAEL MINA","252 CALIFORNIA ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",70,4982,"CA"
"SUBWAY","99 DRUMM ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",5,356,"CA"
"SUBWAY","425 BUSH ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",4,285,"CA"
"BISTRO BURGER","343 SANSOME ST # 150","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"HONG KEE & KIM","91 DRUMM ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",7,499,"CA"
"SUSHI UMI","132 BUSH ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",9,641,"CA"
"FOCACCIA CAFE & BAKERY","119 SACRAMENTO ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",4,285,"CA"
"LEE'S DELI","75 BATTERY ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",12,854,"CA"
"MIXT","120 SANSOME ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SUBWAY","408 MONTGOMERY ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",12,854,"CA"
"BURGER BAR-SAN FRANCISCO","251 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",15,1068,"CA"
"BARBACCO ENO TRATTORIA","220 CALIFORNIA ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"PLANT CAFE ORGANIC","101 CALIFORNIA ST # 175","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",30,2135,"CA"
"GOLDEN W RESTAURANT","8 TRINITY PL","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CUPCAKE COVE","200 PINE ST # 120","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SUNRISE MIDDLE EASTERN DELI","493 PINE ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"BURGER SHACK","21 DRUMM ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CREDO","360 PINE ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"HOE RESTAURANT","185 SUTTER ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"ORALE ORALE","113 SACRAMENTO ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",8,570,"CA"
"FOUNTAIN CAFE","50 POST ST # 62B","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"US CHINA EXECUTOR EXCH INST","300 MONTGOMERY ST # 415","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"GOURMET PROVISIONS LLC","245 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
