"company","address_line_1","city","zipcode","naics8_descriptions","employee_size_location","sales_volume_location","state","full_add","lat","long"
"JOHN'S GRILL","63 ELLIS ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",20,1424,"CA","63 ELLIS ST, SAN FRANCISCO, CA, 94102",37.7854639,-122.4071525
"TAD'S STEAKHOUSE","120 POWELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",19,1353,"CA","120 POWELL ST, SAN FRANCISCO, CA, 94102",37.785955,-122.407816
"SAM'S GRILL & SEA FOOD RSTRNT","374 BUSH ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",35,2491,"CA","374 BUSH ST, SAN FRANCISCO, CA, 94104",37.7909548,-122.4036505
"B44 CATALAN BISTRO","44 BELDEN PL","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",23,1637,"CA","44 BELDEN PL, SAN FRANCISCO, CA, 94104",37.7913722,-122.403726
"MIKAKU RESTAURANT","323 GRANT AVE","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",9,641,"CA","323 GRANT AVE, SAN FRANCISCO, CA, 94108",37.7899854,-122.405728700588
"SABRA","419 GRANT AVE","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",2,143,"CA","419 GRANT AVE, SAN FRANCISCO, CA, 94108",37.7908683,-122.4057244
"JADE CAFE","18 GEARY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",2,143,"CA","18 GEARY ST, SAN FRANCISCO, CA, 94108",37.7879985,-122.403869
"LE CENTRAL","453 BUSH ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",20,1424,"CA","453 BUSH ST, SAN FRANCISCO, CA, 94108",37.79046505,-122.40504277898
"HARRINGTON'S BAR & GRILL SF","245 FRONT ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",21,1495,"CA","245 FRONT ST, SAN FRANCISCO, CA, 94111",37.793983625,-122.39901340625
"MC DONALD'S","235 FRONT ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",23,1637,"CA","235 FRONT ST, SAN FRANCISCO, CA, 94111",37.793906,-122.399066
"ROYAL EXCHANGE","301 SACRAMENTO ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",33,2349,"CA","301 SACRAMENTO ST, SAN FRANCISCO, CA, 94111",37.7941594,-122.3991541
"SCHROEDER'S CAFE","240 FRONT ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",50,3559,"CA","240 FRONT ST, SAN FRANCISCO, CA, 94111",37.7939149,-122.3987561
"TADICH GRILL","240 CALIFORNIA ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",38,2705,"CA","240 CALIFORNIA ST, SAN FRANCISCO, CA, 94111",37.7934198,-122.399472
"PASILLA MEXICAN GRILL","359 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",4,285,"CA","359 KEARNY ST, SAN FRANCISCO, CA, 94108",37.791569,-122.404364
"SUBWAY","200 PINE ST # 140","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",8,570,"CA","200 PINE ST # 140, SAN FRANCISCO, CA, 94104",37.7923452,-122.3999895
"SAN FRANCISCO SOUP CO","221 MONTGOMERY ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",8,570,"CA","221 MONTGOMERY ST, SAN FRANCISCO, CA, 94104",37.7912685555556,-122.402546166667
"BANANA HOUSE","321 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","321 KEARNY ST, SAN FRANCISCO, CA, 94108",37.7910708,-122.404271
"BOB'S STEAK & CHOP HOUSE","500 CALIFORNIA ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",30,2135,"CA","500 CALIFORNIA ST, SAN FRANCISCO, CA, 94104",37.79315685,-122.403204752132
"MURPHY'S PUB","217 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",17,1210,"CA","217 KEARNY ST, SAN FRANCISCO, CA, 94108",37.79009735,-122.404151446904
