"id","trt10","analysis","latitude","longitude","property_type","review_scores_rating","review_scores_location","number_of_reviews"
958,16700,"haight ashbury",37.7693103773408,-122.43385634489,"Apartment",97,10,176
5858,25300,"bernal heights",37.74511233141,-122.421017888369,"Apartment",98,10,111
7918,17102,"haight ashbury",37.7666895978622,-122.452504617616,"Apartment",85,9,17
8339,16400,"hayes valley",37.7752485858927,-122.436373748313,"House",97,10,27
8567,15400,"presidio heights",37.7847074549607,-122.445554312616,"Apartment",90,9,31
8739,20700,"mission",37.7591888970806,-122.422366872406,"Condominium",98,10,635
9225,22704,"potrero hill",37.7625888514414,-122.40543055237,"House",94,10,437
10251,22801,"mission",37.7587429492967,-122.413272016437,"Apartment",96,10,310
10578,11200,"nob hill",37.7914274636899,-122.415435679516,"Apartment",99,10,18
10819,12901,"marina",37.8006013580139,-122.425045381335,"Apartment",88,9,22
10824,16802,"hayes valley",37.7735500155739,-122.42436191545,"Apartment",91,10,14
10832,12301,"tenderloin",37.7857388968019,-122.407977101998,"Apartment",92,10,19
12522,20600,"castro/upper market",37.7607454817925,-122.430324059397,"Apartment",98,10,384
12584,30102,"inner sunset",37.7620310171972,-122.454549535253,"Townhouse",95,9,16
14125,21000,"mission",37.7549066986263,-122.422455019225,"Apartment",98,10,97
17132,61500,"financial district/south beach",37.7864666839475,-122.390716969828,"Condominium",96,10,14
18231,21400,"noe valley",37.7488837093007,-122.429823747464,"Apartment",96,10,61
19040,22801,"mission",37.7634896660962,-122.415174002876,"Guest suite",96,9,227
21334,10800,"nob hill",37.7957957942822,-122.41533449205,"Loft",98,10,118
23540,20900,"mission",37.7506503294557,-122.419838209144,"Guest suite",97,10,107
23611,25200,"bernal heights",37.7455631878606,-122.412068083207,"Condominium",98,10,232
23630,20401,"castro/upper market",37.7596301639461,-122.441432327298,"House",97,10,345
24390,22901,"mission",37.7514555569269,-122.412478167384,"Apartment",95,9,66
24450,21300,"noe valley",37.7488481819817,-122.436725983253,"Apartment",92,10,215
24463,61400,"potrero hill",37.7564459538093,-122.399102322209,"Townhouse",98,10,267
24685,16700,"haight ashbury",37.7716175983972,-122.438362012909,"Apartment",96,10,180
24723,15200,"pacific heights",37.78716464559,-122.43386112927,"Guest suite",95,10,272
25094,21600,"noe valley",37.7418761305124,-122.431215418164,"House",100,10,24
25463,16400,"hayes valley",37.7772894930107,-122.434211491536,"Townhouse",98,10,391
25662,22702,"potrero hill",37.7621220162343,-122.395409036726,"House",95,10,298
25927,15200,"pacific heights",37.7889473624606,-122.43030637005,"House",91,10,74
26408,16300,"hayes valley",37.7747784817709,-122.431498736054,"Apartment",90,9,30
27025,20300,"castro/upper market",37.7629796756538,-122.431364412278,"Apartment",100,10,129
27028,20700,"mission",37.7609755633024,-122.421580791961,"Condominium",96,10,25
29373,25402,"bernal heights",37.7372900954088,-122.411634740693,"House",96,9,12
29557,47902,"outer richmond",37.7793083193784,-122.505183207625,"Apartment",99,10,34
32414,25200,"bernal heights",37.7402545056537,-122.412590872936,"Apartment",96,9,93
33577,60700,"mission bay",37.7651460612505,-122.397500942685,"House",99,10,614
33578,60700,"mission bay",37.7652561855816,-122.397304706368,"House",99,10,560
38607,15400,"presidio heights",37.7819746168689,-122.45809229686,"House",96,10,194
39174,21000,"mission",37.7483016746093,-122.424884959459,"Guest suite",96,10,20
39418,25300,"bernal heights",37.7409269467929,-122.420548561836,"Apartment",98,10,21
40092,20800,"mission",37.7601636895608,-122.419693028565,"Apartment",92,9,96
40138,15400,"presidio heights",37.7825494884398,-122.448438157511,"Apartment",96,10,135
41055,20600,"castro/upper market",37.7612500908686,-122.433354722545,"House",94,10,41
41172,25200,"bernal heights",37.7408273393634,-122.417630081021,"House",98,10,220
41399,20800,"mission",37.7561066911123,-122.418661884548,"Apartment",96,9,71
41423,21800,"glen park",37.7355683221072,-122.433015943896,"House",89,9,146
41609,11901,"nob hill",37.7900132897759,-122.412916002278,"Condominium",98,10,13
42403,25403,"bernal heights",37.7335582991596,-122.4185132378,"Apartment",93,10,6
42408,25403,"bernal heights",37.7340436000579,-122.417812900969,"House",87,8,4
42454,22901,"mission",37.7511709381739,-122.413258584036,"Apartment",89,10,9
42577,22600,"potrero hill",37.7544717842823,-122.388131830683,"Guest suite",80,7,2
44032,22901,"mission",37.7514502439316,-122.41206984701,"Apartment",97,9,279
44680,21000,"mission",37.7512085349079,-122.421645032505,"Apartment",100,NA,3
45299,20600,"castro/upper market",37.7606810378029,-122.43330627769,"Apartment",94,10,120
45956,16801,"hayes valley",37.772481096266,-122.430161279709,"House",96,10,84
47486,30900,"west of twin peaks",37.7253573194217,-122.468610574053,"House",97,9,29
47682,13101,"pacific heights",37.7925037718951,-122.42431221967,"Apartment",96,10,25
51073,20100,"mission",37.7711632919317,-122.421994759712,"Apartment",99,10,149
51557,16801,"hayes valley",37.771214598434,-122.428338962675,"Apartment",98,10,104
51773,13101,"pacific heights",37.7931169727476,-122.425998354124,"Apartment",92,10,159
52713,10800,"nob hill",37.7966678106742,-122.412717120557,"Apartment",89,9,166
53280,25402,"bernal heights",37.7387767396057,-122.411894932748,"House",97,9,123
54518,11700,"financial district/south beach",37.7933008737646,-122.400794091703,"Condominium",89,10,17
54634,13102,"pacific heights",37.7916644639984,-122.426497853182,"Apartment",93,10,38
55632,47701,"outer richmond",37.7795949292926,-122.486187487036,"Apartment",94,9,10
55636,20402,"twin peaks",37.7488940236066,-122.444785710523,"Apartment",95,9,26
56621,13101,"pacific heights",37.7921566860583,-122.424581750156,"Apartment",92,10,120
57479,16400,"hayes valley",37.7745946756915,-122.439228807792,"Apartment",99,10,152
57561,25200,"bernal heights",37.7472029202085,-122.414430170056,"Apartment",92,9,212
57676,20800,"mission",37.7576248850367,-122.41932566984,"Apartment",94,10,107
59344,21500,"noe valley",37.7456548107698,-122.428643804847,"Guest suite",98,10,292
59381,10300,"russian hill",37.803101496368,-122.415957949526,"Condominium",96,10,215
59702,25200,"bernal heights",37.742085351344,-122.414087951984,"Cottage",98,10,183
59831,32700,"sunset/parkside",37.7567354309517,-122.491777924751,"House",20,NA,1
60659,10400,"north beach",37.8024077116571,-122.409253492017,"Condominium",98,10,190
62519,21800,"glen park",37.7418258258704,-122.429931200282,"Apartment",97,10,35
62651,20700,"mission",37.7624549961514,-122.424321073624,"House",96,10,52
63247,22901,"mission",37.7492577913684,-122.41397519022,"Guest suite",93,10,285
63405,20900,"mission",37.7539960890293,-122.417706321436,"Guest suite",93,10,206
64165,12901,"marina",37.8031736091944,-122.428740684988,"Apartment",99,10,65
66119,47600,"outer richmond",37.777979433132,-122.478123921284,"Apartment",83,9,96
66188,47902,"outer richmond",37.7771860522274,-122.509060167198,"Apartment",96,9,12
68239,21000,"mission",37.7542572554902,-122.42386605699,"Apartment",99,10,35
69410,45100,"inner richmond",37.7744198372771,-122.463189423187,"House",98,10,50
69681,47901,"outer richmond",37.7770690692625,-122.509231872583,"Apartment",93,9,7
70139,21500,"noe valley",37.7452742927375,-122.424240324568,"Apartment",98,10,10
71645,25100,"bernal heights",37.7457751874626,-122.408411968684,"Guest suite",98,10,105
71779,45200,"inner richmond",37.7762482650997,-122.464656874691,"Apartment",60,8,2
72365,16400,"hayes valley",37.7751812479675,-122.43334092158,"Apartment",89,10,64
73011,20100,"mission",37.7702572987572,-122.418546723567,"Apartment",99,8,30
74451,16400,"hayes valley",37.7738767099239,-122.432975686883,"Apartment",96,10,17
75423,25600,"excelsior",37.7304802544081,-122.424935836124,"House",90,8,33
77175,21700,"glen park",37.7383817947844,-122.433751572009,"House",97,10,262
81158,15400,"presidio heights",37.784932361281,-122.44617874147,"Condominium",92,10,12
81535,12501,"tenderloin",37.7802468256843,-122.413096748648,"Loft",97,8,14
82919,25403,"bernal heights",37.7342981982552,-122.420921340754,"House",92,9,371
83257,15400,"presidio heights",37.7852800242626,-122.44358154469,"House",97,9,84
83553,47901,"outer richmond",37.7748255366123,-122.509518080884,"Apartment",100,9,6
84777,20401,"castro/upper market",37.7596935058432,-122.44444867872,"Guest suite",94,9,214
87640,21500,"noe valley",37.7454959656891,-122.428984450473,"Guest suite",98,10,313
91957,17102,"haight ashbury",37.7619357724881,-122.449286142823,"Apartment",95,10,95
95243,10400,"north beach",37.8029872118828,-122.409369879597,"Condominium",98,10,31
96383,13101,"pacific heights",37.7917561818942,-122.424755244204,"Apartment",94,10,130
99094,20200,"mission",37.768086305165,-122.424390331424,"Apartment",98,10,12
100710,20700,"mission",37.7562905590374,-122.425177532764,"Apartment",100,10,10
