"nhood","tpop","pyoung","pcol","minc","mhval","mrent","pwhite","pblack","pasian","phisp","tpop17","pyoung17","pcol17","minc17","mhval17","mrent17","gentcat","pwhite17","pblack17","pasian17","phisp17"
"Bayview Hunters Point",34834.884339187,25.119091,13.0972727818182,68944.4192472791,383179.602253429,948.669582149891,5.65798864382278,45.3222813840078,26.2724933744207,16.2968125420579,37917,24.1409094545455,29.1827272727273,63772.3,737920,1402.45454545455,"non-gentrifying",7.96212780546984,25.2894480048527,38.6449349895825,23.4433103884801
"Bernal Heights",24952.0906476943,29.7449996666667,39.1349996666667,95689.9492700004,537924.005618554,1449.27041327563,38.5179508030047,6.56070877231794,16.8763558110475,33.3600042478573,25167,21.5099998333333,58.9816663333333,139612.5,1184216.66666667,1877.66666666667,"nongentable-ascending",47.7093018635515,4.07279373783129,17.058052211229,26.2764731592959
"Castro/Upper Market",20037.6796228031,35.2749996666667,63.8099988333333,109990.944013562,872713.099282882,1613.5697765708,77.0620016422834,2.86059893555587,7.25897971911243,9.03131567160392,22502,30.8816665,78.3600018333333,159149.166666667,1323100,2225.83333333333,"nongentable-ascending",68.8960981246111,3.1463869878233,14.389832014932,8.03039729801795
"Chinatown",14360,17.99,13.907500275,28048.8154594093,853396.972142381,601.653688304154,10.4178272980501,1.01671309192201,84.7423398328691,1.991643454039,14438,22.23499925,22.4875,30661,952100,747.5,"non-gentrifying",10.9502701205153,0.13159717412384,83.3841252251004,3.04751350602577
"Excelsior",37063.8336378714,25.290000125,20.957499375,85549.1913163226,454357.861377265,1567.32654956646,16.9976110986068,2.112561338501,44.6794607427745,32.5356494900686,39879,20.98375,29.046250125,91186.25,837762.5,1795.25,"non-gentrifying",13.9045612979262,1.9534090624138,49.4771684345144,31.9616840943855
"Financial District/South Beach",9929.21965321177,30.6033333333333,53.4666673333333,87033.0012899223,676887.577888256,1842.64577465517,60.3422948555876,6.5303842864455,22.8986736058815,6.30084358943184,21537,31.4066656666667,70.2633323333333,135658.333333333,1486600,2075,"gentrifying",44.2262153503273,2.86483725681386,40.920276733064,7.09941031712866
"Glen Park",8053,23.97,57.82,116982.502164109,697187.320444292,1616.66408941987,60.7227120327828,7.30162672296039,12.9268595554452,14.1686328076493,8651,17.11,76.084999,168443,1389150,1653,"nongentable-ascending",58.5597040804531,6.91249566524101,16.911339729511,12.044850306323
"Golden Gate Park",137,50.360001,59.700001,32550.643346815,0,1632.8894820087,66.4233576642336,7.2992700729927,5.10948905109489,18.978102189781,63,58.73,93.650002,139375,NA,2225,"gentrifying",92.0634920634921,0,7.93650793650794,0
"Haight Ashbury",17009,47.9925,70.515001,110056.81085655,965709.508100614,1683.63312692623,74.8721265212535,7.87230289846552,6.42013051913693,6.53183608677759,19275,39.1100005,78.8925,176845.5,1639500,2300.5,"nongentable-ascending",72.0311284046693,4.59662775616083,10.609597924773,7.53826199740597
"Hayes Valley",16915,47.0779998,49.9060004,74196.3623603548,704192.181295586,1255.52952507264,58.2737215489211,18.3978717114987,7.99881761749926,10.1093703813184,19711,41.9800004,71.3280014,137240.6,1149080,2084.4,"gentrifying",58.8859012734006,6.2807569377505,15.3467606919994,13.4138298412054
"Inner Richmond",21509,33.4699995,51.5175,85245.3963224414,926621.85383182,1498.77092701346,47.4777999907016,1.58538286298759,43.0563949974429,4.44465107629364,22572,33.90000025,66.85749825,118882,1516950,2058.5,"gentrifying",48.5202906255538,1.87843345738083,37.0724791777423,8.12068048910154
"Inner Sunset",27063,35.9733341666667,60.9233331666667,102369.856522239,774753.558075344,1636.68111900106,57.2405128773602,1.90296715072239,31.2049661900011,5.52414735986402,29539,33.551666,76.3650003333333,135724,1366866.66666667,2344.33333333333,"nongentable-ascending",48.7863502488236,2.44761163207962,34.5306205355632,8.70036223298013
"Japantown",3591,31.440001,44.599998,56295.0796054025,460642.326825,1308.60862076832,44.3887496519075,17.4881648565859,29.3233082706767,5.45808966861598,3551,31.51,52.130001,79783,970400,1470,"non-gentrifying",46.2123345536469,1.63334272036046,32.7513376513658,9.26499577583779
"Lakeshore",11850.2977152348,46.1274995,52.6400005,69389.6413502681,170916.268226164,1690.70108051326,46.4850194684824,6.21040093409519,32.5630443447771,8.54785528888236,14801,53.54750075,55.57749925,58167.5,1191250,1952.25,"non-gentrifying",36.0313492331599,6.33065333423417,27.3022093101817,23.1065468549422
"Lincoln Park",231,12.12,24.02,156321.058233599,1.48873072360617,2033.02130994747,64.0692640692641,9.09090909090909,16.017316017316,8.22510822510823,312,2.5599999,61.740002,154167,857100,2342,"nongentable-ascending",46.7948717948718,16.025641025641,33.6538461538462,3.52564102564103
"Lone Mountain/USF",14817,49.2499996666667,60.0600003333333,89430.0870631995,824239.082284711,1571.77852627504,58.5746102449889,8.18654248498347,20.8881689950732,7.30917189714517,17677,44.7299993333333,74.0533343333333,135393.333333333,1277800,1984.66666666667,"non-gentrifying",52.0902868133733,5.12530406743226,22.6056457543701,11.7157888782033
