"trt10","tpop","pyoung","pcol","minc","mhval","mrent","pwht","pblk","pasian","phisp","tpop17","pyoung17","pcol17","minc17","mhval17","mrent17","pwht17","pblk17","pasian17","phisp17","gentcat"
10100,2879,36.990002,55.630001,76037.3363915122,801814.823205957,1544.62901768062,57.549999,5.52,26.02,7.2600002,3889,34.889999,52.959999,62414,1145800,1770,39.009998,6.0700002,39.439999,12.21,"non-gentrifying"
10200,4288,36.919998,70.510002,122888.475165025,1206373.07565459,1808.25846657645,83.650002,0.72000003,9.8199997,3.78,4167,33.790001,85.809998,151453,1305300,2471,80.709999,2.02,12.07,3.26,"non-gentrifiable"
10300,4092,30.99,59.790001,100281.003150707,927944.938922663,1671.97943105262,58.040001,0.56,35.040001,3.4200001,4359,37.490002,72.790001,150972,1545800,2206,59.439999,0,29.040001,9.3400002,"non-gentrifiable"
10400,4859,32.619999,61.380001,108566.69001033,1057896.98374575,1645.37567368136,62.849998,0.62,31.34,3.4200001,4536,30.690001,74.110001,130732,1519800,2220,62.939999,0.2,22.57,7.5799999,"non-gentrifiable"
10500,2217,16.780001,68.540001,113515.229807263,791430.714825684,2258.77154500877,75.330002,1.89,17.139999,3.2,2779,24.719999,78.559998,135300,1525000,2270,49.799999,9.0699997,23.68,7.5599999,"non-gentrifiable"
10600,4279,30.1,32.450001,58070.583501114,701574.728576822,1051.37471991565,32.18,0.95999998,61.790001,3.0599999,3429,35.110001,48.43,63281,1045700,1134,35.369999,1.87,55.700001,4.29,"non-gentrifying"
10700,5634,19.469999,16.58,24729.9753677421,746902.209759218,517.145842700054,13.21,0.94,81.510002,2.4100001,5548,23.139999,22.16,25323,864100,746,14.67,0,77.650002,6,"non-gentrifying"
10800,5130,31.83,46.450001,78030.0969228686,940925.878659821,1288.01260379597,39.34,0.75999999,54.830002,2.5699999,5038,33.82,58.400002,108879,1485700,1907,46.349998,2.2,42.66,6.1900001,"gentrifying"
10900,4497.73364305071,40.880001,64.779999,98123.8805852551,902909.340492212,1473.84341637011,69.910004,1.46,21.08,4.3299999,4486,44.900002,75.25,141544,1272400,2415,65.849998,1.54,24.790001,4.3499999,"non-gentrifiable"
11000,5037.26635694928,38.5,44.68,67997.274060593,720399.994151826,1204.08710525302,38.23,1.4299999,55.099998,2.8099999,5127,48.509998,66.5,121523,1237500,1845,51.57,2.0899999,40.200001,6.1399999,"gentrifying"
11100,5559,38.66,42.619999,54401.9464505784,875082.561996991,1151.56298932384,48.189999,2.1400001,40.310001,5.8800001,4835,42.48,65.099998,108198,1066000,1673,46.040001,4.1799998,35.720001,10.13,"gentrifying"
11200,3700,30.08,57.029999,112690.137478785,1274831.02061469,1496.71217229421,56.970001,1,36.950001,2.76,3329,32.68,74.470001,128333,1665600,2094,58.73,5.0799999,28.6,4.5100002,"non-gentrifiable"
11300,3264,19.42,16.790001,36884.7862807768,949985.516276229,670.325281087214,12.99,0.86000001,81.949997,2.1099999,2843,22.549999,24.370001,39292,1000000,824,15.51,0,78.190002,2.6400001,"non-gentrifying"
11700,1747,28.91,26.25,29193.4351424508,582493.275948359,831.909706776394,30.17,4.29,53.18,8.2399998,1790,27.15,52.560001,63250,1708300,1107,31.4,3.74,48.040001,10.34,"gentrifying"
11800,1528,20.030001,14.63,28285.7085604237,521055.008896797,742.876631079478,8.5100002,0.25999999,88.870003,0.64999998,1570,28.219999,31.049999,37656,NA,836,12.29,0.56999999,83.440002,1.53,"gentrifying"
11901,2450,42.759998,49.330002,68036.0447836393,438446.379883449,1244.07955910199,60.540001,2.5,25.35,7.9200001,2699,46.68,72.07,103835,667300,2153,51.91,2.1900001,23.299999,13.45,"gentrifying"
11902,2793,42.759998,49.330002,68036.0447836397,438446.379883449,1244.07955910199,60.540001,2.5,25.35,7.9200001,2712,46.049999,66.980003,84073,613600,1707,55.68,0.92000002,30.57,7.4499998,"non-gentrifying"
12000,3972,42.220001,34.98,39579.9596295997,223308.119810202,1009.74635319404,51.459999,3.3499999,27.09,11.96,3973,40.599998,55.959999,51788,NA,1399,39.139999,6.0700002,32.619999,15.3,"gentrifying"
12100,3462,52.02,45.889999,50904.659732042,463735.891777,1128.08023253786,56.150002,3.26,28.34,7.4200001,3859,61.259998,66.949997,75711,644900,1760,44.099998,4.5300002,29.360001,18.139999,"gentrifying"
12201,4723,41.209999,34.48,45137.8144662829,251710.623974104,1007.89334217375,38.93,6.6100001,29.5,18.52,4620,42.470001,47.950001,67569,608100,1601,40.450001,6.02,17.9,29.07,"gentrifying"
12202,2312,41.209999,34.48,45137.8144662829,251710.623974104,1007.89334217375,38.93,6.6100001,29.5,18.52,3181,25.620001,32.400002,31538,937500,1141,36.119999,13.49,23.950001,19.02,"non-gentrifying"
12301,3135,33.880001,27.690001,33331.5530948002,1488732.21233689,835.012521418216,40,10.3,30.93,13.09,2117,19.700001,26.700001,30366,NA,944,30.23,5.29,33.869999,28.15,"non-gentrifying"
12302,3070,33.880001,27.690001,33331.5530948001,1488732.21233689,835.012521418215,40,10.3,30.93,13.09,2713,43.09,56.360001,56295,NA,1598,40.07,5.0500002,29.379999,22.67,"gentrifying"
