trt10,tpop17,pyoung17,white17,black17,asian17,hisp17,pwht17,pblk17,pasian17,phisp17,pcol17,pbiz17,pprof17,minc17,mhval17,mrent17,foreign17,pforeign17,tpop,pyoung,white,black,asian,hisp,pwht,pblk,pasian,phisp,pcol,pbiz,pprof,minc,mhval,mrent,foreign,pforeign,m_minc,gentable,gentable2,c_mhval,c_mrent,c_col,c_minc,m_c_mhval,m_c_mrent,m_c_col,m_c_minc,gent,gent2
010100,3889,34.889999,1517,236,1534,475,39.009998,6.0700002,39.439999,12.21,52.959999,28.559999,23.559999,62414,1145800,1770,1737,44.66,2879,36.990002,1657,159,749,209,57.549999,5.52,26.02,7.2600002,55.630001,33.48,31.610001,76037.3363915122,801814.823205957,1544.62901768062,988,34.32,90298.188,1,0,343985.19,225.37099,-2.670002,-13623.336,461054.94,495.1232,12.879997,22653.719,0,non-gentrifying
010200,4167,33.790001,3363,84,503,136,80.709999,2.02,12.07,3.26,85.809998,46.700001,25.450001,151453,1305300,2471,805,19.32,4288,36.919998,3587,31,421,162,83.650002,.72000003,9.8199997,3.78,70.510002,36.360001,33.25,122888.475165025,1206373.07565459,1808.25846657645,533,12.43,90298.188,0,0,98926.922,662.74152,15.299995,28564.525,461054.94,495.1232,12.879997,22653.719,,non-gentrifiable
010300,4359,37.490002,2591,0,1266,407,59.439999,0,29.040001,9.3400002,72.790001,34.380001,27.41,150972,1545800,2206,953,21.860001,4092,30.99,2375,23,1434,140,58.040001,.56,35.040001,3.4200001,59.790001,22.42,33.200001,100281.003150707,927944.938922663,1671.97943105262,1404,34.310001,90298.188,0,0,617855.06,534.02057,13,50690.996,461054.94,495.1232,12.879997,22653.719,,non-gentrifiable
010400,4536,30.690001,2855,9,1024,344,62.939999,.2,22.57,7.5799999,74.110001,38.290001,30.719999,130732,1519800,2220,1070,23.59,4859,32.619999,3054,30,1523,166,62.849998,.62,31.34,3.4200001,61.380001,28.389999,30.290001,108566.69001033,1057896.98374575,1645.37567368136,1478,30.42,90298.188,0,0,461903.03,574.62433,12.73,22165.311,461054.94,495.1232,12.879997,22653.719,,non-gentrifiable
010500,2779,24.719999,1384,252,658,210,49.799999,9.0699997,23.68,7.5599999,78.559998,40.490002,36.099998,135300,1525000,2270,953,34.290001,2217,16.780001,1670,42,380,71,75.330002,1.89,17.139999,3.2,68.540001,46.490002,22.219999,113515.229807263,791430.714825684,2258.77154500877,617,27.09,90298.188,0,0,733569.31,11.228455,10.019997,21784.77,461054.94,495.1232,12.879997,22653.719,,non-gentrifiable
010600,3429,35.110001,1213,64,1910,147,35.369999,1.87,55.700001,4.29,48.43,21.84,28.879999,63281,1045700,1134,1658,48.349998,4279,30.1,1377,41,2644,131,32.18,.95999998,61.790001,3.0599999,32.450001,18,17.33,58070.583501114,701574.728576822,1051.37471991565,2118,50.209999,90298.188,1,1,344125.28,82.625282,15.98,5210.4165,461054.94,495.1232,12.879997,22653.719,0,non-gentrifying
010700,5548,23.139999,814,0,4308,333,14.67,0,77.650002,6,22.16,18.07,15.95,25323,864100,746,3980,71.739998,5634,19.469999,744,53,4592,136,13.21,.94,81.510002,2.4100001,16.58,10.6,15.35,24729.9753677421,746902.209759218,517.145842700054,4015,71.260002,90298.188,1,1,117197.79,228.85416,5.5799999,593.02466,461054.94,495.1232,12.879997,22653.719,0,non-gentrifying
010800,5038,33.82,2335,111,2149,312,46.349998,2.2,42.66,6.1900001,58.400002,24.65,31.940001,108879,1485700,1907,1540,30.57,5130,31.83,2018,39,2813,132,39.34,.75999999,54.830002,2.5699999,46.450001,20.9,26.129999,78030.0969228686,940925.878659821,1288.01260379597,2303,44.889999,90298.188,1,0,544774.13,618.98737,11.950001,30848.902,461054.94,495.1232,12.879997,22653.719,1,gentrifying
010900,4486,44.900002,2954,69,1112,195,65.849998,1.54,24.790001,4.3499999,75.25,40.040001,28.860001,141544,1272400,2415,1050,23.41,4497.73364305071,40.880001,3144.221,65.87891999999999,948.2572,194.6423,69.910004,1.46,21.08,4.3299999,64.779999,33.66,31.98,98123.8805852551,902909.340492212,1473.84341637011,1145.89396853578,25.48,90298.188,0,0,369490.66,941.15656,10.470001,43420.121,461054.94,495.1232,12.879997,22653.719,,non-gentrifiable
011000,5127,48.509998,2644,107,2061,315,51.57,2.0899999,40.200001,6.1399999,66.5,36.59,23.610001,121523,1237500,1845,1458,28.440001,5037.26635694928,38.5,1925.779,72.12108000000001,2775.743,141.3577,38.23,1.4299999,55.099998,2.8099999,44.68,20.01,24.200001,67997.274060593,720399.994151826,1204.08710525302,2199.10603146422,43.66,90298.188,1,1,517100,640.9129,21.82,53525.727,461054.94,495.1232,12.879997,22653.719,1,gentrifying
