nhood,tpop17,white17,black17,asian17,hisp17,foreign17,pyoung17,pcol17,pbiz17,pprof17,minc17,mhval17,mrent17,tpop,white,black,asian,hisp,foreign,pyoung,pcol,pbiz,pprof,minc,mhval,mrent,m_minc,pwhite,pblack,pasian,phisp,pwhite17,pblack17,pasian17,phisp17,c_pcol,c_minc,c_mhval,c_mrent,m_c_pcol,m_c_minc,m_c_mhval,m_c_mrent,gentcat
Bayview Hunters Point,37917,3019,9589,14653,8889,15657,24.140909454545454,29.182727272727274,12.054545363636363,21.28363609090909,63772.3,737920.0,1402.4545454545455,34834.88433918699,1970.9538,15787.9643,9151.99268,5676.9758,11116.980863904417,25.119091,13.097272781818184,13.072727390909092,13.657272918181816,68944.41924727909,383179.60225342924,948.669582149891,90298.188,5.65798864382278,45.322281384007816,26.27249337442065,16.296812542057936,7.962127805469842,25.289448004852705,38.64493498958251,23.4433103884801,16.08545449090909,-5172.119247279086,354740.39774657076,453.7849633046545,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,non-gentrifying
Bernal Heights,25167,12007,1025,4293,6613,7088,21.509999833333328,58.98166633333333,25.889999999999997,34.111666666666665,139612.5,1184216.6666666667,1877.6666666666667,24952.09064769425,9611.034,1637.034,4211.0036,8324.0185,8943.012738465022,29.74499966666666,39.134999666666666,13.733333333333334,29.92166716666667,95689.94927000038,537924.0056185542,1449.2704132756282,90298.188,38.517950803004666,6.560708772317936,16.876355811047546,33.360004247857276,47.70930186355148,4.0727937378312875,17.05805221122899,26.276473159295904,19.846666666666664,43922.550729999624,646292.6610481126,428.3962533910385,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,nongentable-ascending
Castro/Upper Market,22502,15503,708,3238,1807,4265,30.881666500000005,78.36000183333333,32.0700005,41.73000016666666,159149.16666666666,1323100.0,2225.8333333333335,20037.67962280308,15441.437,573.1976500000001,1454.5311,1809.6661,2979.6184248264362,35.274999666666666,63.80999883333334,26.66166683333333,39.978334499999995,109990.94401356248,872713.0992828817,1613.5697765707985,90298.188,77.06200164228342,2.8605989355558683,7.258979719112431,9.03131567160392,68.89609812461114,3.1463869878233046,14.389832014932006,8.030397298017954,14.55000299999999,49158.22265310418,450386.9007171183,612.263556762535,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,nongentable-ascending
Chinatown,14438,1581,19,12039,440,10560,22.23499925,22.4875,12.859999975000001,19.049999999999997,30661.0,952100.0,747.5,14360.0,1496.0,146.0,12169.0,286.0,10657.0,17.990000000000002,13.907500275,9.194999975,12.952499975,28048.815459409325,853396.9721423811,601.6536883041535,90298.188,10.417827298050138,1.0167130919220055,84.74233983286908,1.9916434540389973,10.950270120515308,0.13159717412383987,83.38412522510042,3.047513506025765,8.579999725,2612.184540590675,98703.02785761887,145.84631169584645,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,non-gentrifying
Excelsior,39879,5545,779,19731,12746,20395,20.98375,29.046250124999997,12.67749985,20.56375025,91186.25,837762.5,1795.25,37063.833637871416,6299.9663,782.99622,16559.921000000002,12058.959,20386.91641783299,25.290000125,20.957499375,10.9524999875,13.965000200000002,85549.19131632255,454357.86137726536,1567.326549566455,90298.188,16.99761109860682,2.1125613385009996,44.67946074277448,32.53564949006864,13.904561297926227,1.9534090624138016,49.477168434514404,31.961684094385518,8.088750749999996,5637.0586836774455,383404.63862273464,227.92345043354499,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,non-gentrifying
Financial District/South Beach,21537,9525,617,8813,1529,8707,31.40666566666667,70.26333233333334,35.57333466666666,30.709999,135658.33333333334,1486600.0,2075.0,9929.21965321177,5991.519,648.4162,2273.6596,625.6246,3096.8969340102503,30.603333333333335,53.46666733333333,31.896666999999997,23.843333666666666,87033.00128992226,676887.5778882556,1842.6457746551714,90298.188,60.34229485558761,6.530384286445503,22.898673605881477,6.300843589431837,44.226215350327344,2.864837256813855,40.92027673306403,7.099410317128663,16.796665000000004,48625.33204341108,809712.4221117444,232.3542253448286,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,gentrifying
Glen Park,8651,5066,598,1463,1042,1801,17.11,76.08499900000001,33.195001,44.5,168443.0,1389150.0,1653.0,8053.0,4890.0,588.0,1041.0,1141.0,1481.0,23.97,57.82,26.05,36.245001,116982.502164109,697187.320444292,1616.664089419875,90298.188,60.72271203278281,7.301626722960387,12.926859555445175,14.168632807649322,58.55970408045312,6.912495665241012,16.911339729511038,12.044850306322969,18.26499900000001,51460.497835891,691962.679555708,36.33591058012507,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,nongentable-ascending
Golden Gate Park,63,58,0,5,0,5,58.73,93.650002,18.639999,38.98,139375.0,,2225.0,137.0,91.0,10.0,7.0,26.0,0.0,50.360001,59.700001,10.0,21.67,32550.643346815,0.0,1632.8894820087,90298.188,66.42335766423358,7.2992700729927,5.109489051094891,18.97810218978102,92.06349206349206,0.0,7.936507936507936,0.0,33.950001,106824.35665318501,,592.1105179913,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,gentrifying
Haight Ashbury,19275,13884,886,2045,1453,2930,39.110000500000005,78.8925,29.46750025,40.51000025,176845.5,1639500.0,2300.5,17009.0,12735.0,1339.0,1092.0,1111.0,2304.0,47.9925,70.515001,24.7825,38.905001,110056.81085654993,965709.508100614,1683.6331269262275,90298.188,74.87212652125346,7.8723028984655175,6.4201305191369284,6.531836086777589,72.03112840466926,4.59662775616083,10.609597924773022,7.538261997405966,8.377499,66788.68914345007,673790.491899386,616.8668730737725,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,nongentable-ascending
Hayes Valley,19711,11607,1238,3025,2644,3763,41.9800004,71.3280014,28.3420002,39.338000400000006,137240.6,1149080.0,2084.4,16915.0,9857.0,3112.0,1353.0,1710.0,2869.0,47.07799980000001,49.9060004,19.856000599999998,33.8200012,74196.36236035482,704192.1812955864,1255.529525072642,90298.188,58.273721548921074,18.39787171149867,7.998817617499261,10.109370381318357,58.88590127340064,6.280756937750495,15.346760691999393,13.413829841205418,21.422001,63044.23763964519,444887.8187044136,828.8704749273581,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,gentrifying
Inner Richmond,22572,10952,424,8368,1833,6733,33.90000025,66.85749824999999,27.42999975,33.27749975,118882.0,1516950.0,2058.5,21509.0,10212.0,341.0,9261.0,956.0,8647.0,33.4699995,51.5175,22.937499749999997,29.8449995,85245.39632244145,926621.8538318198,1498.7709270134626,90298.188,47.47779999070157,1.5853828629875868,43.05639499744293,4.444651076293645,48.520290625553784,1.8784334573808257,37.07247917774234,8.120680489101542,15.339998249999994,33636.60367755855,590328.1461681802,559.7290729865374,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,gentrifying
Inner Sunset,29539,14411,723,10200,2570,8361,33.551666,76.36500033333334,27.328333333333337,45.04999966666667,135724.0,1366866.6666666667,2344.3333333333335,27063.0,15491.0,515.0,8445.0,1495.0,8274.0,35.97333416666667,60.92333316666667,18.916666666666668,44.321666666666665,102369.85652223893,774753.5580753443,1636.6811190010649,90298.188,57.24051287736024,1.9029671507223886,31.20496619000111,5.524147359864021,48.78635024882359,2.4476116320796235,34.53062053556316,8.700362232980128,15.441667166666669,33354.14347776107,592113.1085913224,707.6522143322686,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,nongentable-ascending
